id;fecha;temp;feelslike;dew;humidity;precip;precipprob;windgust;windspeed;winddir;cloudcover;visibility;conditionsDay
5902;14/01/2026 12:00;11.0;10.2;3.9;73.9;0.0;11;14.2;3.3;298;49.3;13.2;partly-cloudy
5088;14/01/2026 12:00;10.9;10.1;4.1;74.4;0.0;11;11.4;5.0;241;73.9;10.9;partly-cloudy
5141;14/01/2026 12:00;11.4;10.8;4.0;67.0;0.0;20;13.5;7.6;254;61.4;11.2;partly-cloudy
5010;14/01/2026 12:00;11.2;10.1;4.1;66.3;0.0;9;18.1;7.9;242;36.4;10.7;partly-cloudy
3924;14/01/2026 12:00;11.2;10.2;3.9;80.2;0.0;15;14.3;11.0;292;30.7;11.5;partly-cloudy
5538;14/01/2026 12:00;11.1;10.5;4.0;59.3;0.0;9;11.0;7.0;285;37.3;8.8;partly-cloudy
4483;14/01/2026 12:00;9.4;8.7;4.9;73.0;0.0;0;10.0;6.6;254;40.8;11.9;partly-cloudy
11177;14/01/2026 12:00;10.9;10.3;4.3;61.5;0.0;23;15.7;8.6;273;39.4;15.0;partly-cloudy
6057;14/01/2026 12:00;10.8;9.8;4.0;70.2;0.0;13;14.9;8.5;265;65.6;15.2;partly-cloudy
6082;14/01/2026 12:00;10.4;9.7;3.3;62.4;0.0;15;14.4;7.6;291;32.7;13.9;partly-cloudy
11127;14/01/2026 12:00;10.9;10.5;3.6;69.6;0.0;8;12.0;5.8;283;40.3;12.2;partly-cloudy
4322;14/01/2026 12:00;9.6;9.0;4.4;52.5;0.0;4;13.5;4.4;269;87.8;10.5;cloudy
4629;14/01/2026 12:00;11.0;10.0;3.6;79.5;0.0;5;19.0;8.1;236;61.1;13.4;partly-cloudy
5041;14/01/2026 12:00;11.6;11.0;4.0;70.6;0.0;22;13.6;6.0;255;67.1;10.8;partly-cloudy
5191;14/01/2026 12:00;10.3;9.6;4.1;75.8;0.0;0;13.6;7.6;262;28.9;10.5;clear
5309;14/01/2026 12:00;10.0;9.1;4.3;61.3;0.0;20;12.5;6.9;287;87.5;13.8;cloudy
5338;14/01/2026 12:00;11.1;10.6;3.8;67.5;0.0;7;13.4;3.5;205;42.0;10.7;partly-cloudy
5167;14/01/2026 12:00;9.8;9.1;3.7;71.0;0.0;17;14.8;8.4;255;69.2;12.5;partly-cloudy
5293;14/01/2026 12:00;9.9;9.3;3.8;69.2;0.0;12;15.5;8.1;295;18.8;12.1;clear
6849;14/01/2026 12:00;9.7;9.0;3.9;71.3;0.0;5;11.5;7.6;294;64.5;9.8;partly-cloudy
1035;14/01/2026 12:00;10.6;9.9;4.3;63.9;0.0;1;16.8;5.9;200;51.0;14.6;partly-cloudy
6862;14/01/2026 12:00;11.2;10.6;4.3;73.7;0.0;0;19.1;9.5;213;46.5;12.2;partly-cloudy
6851;14/01/2026 12:00;11.0;10.2;3.6;70.9;0.0;9;10.8;4.4;298;37.3;15.4;partly-cloudy
6853;14/01/2026 12:00;11.2;10.5;4.1;71.6;0.0;16;20.6;12.3;230;53.8;13.5;partly-cloudy
7109;14/01/2026 12:00;11.1;10.6;4.3;70.4;0.0;16;11.9;8.1;233;67.4;11.9;partly-cloudy
11167;14/01/2026 12:00;11.3;10.4;3.7;69.7;0.0;0;9.1;11.8;269;63.5;12.1;partly-cloudy
4859;14/01/2026 12:00;10.5;10.0;4.0;61.7;0.1;19;13.6;7.1;213;32.0;12.8;partly-cloudy
5310;14/01/2026 12:00;11.2;10.4;4.1;70.5;0.0;17;18.4;12.2;287;65.2;10.5;partly-cloudy
10955;14/01/2026 12:00;11.3;10.4;4.2;82.3;0.0;0;20.8;6.6;244;45.9;16.6;partly-cloudy
5311;14/01/2026 12:00;11.2;10.3;4.1;65.0;0.0;2;11.9;12.4;240;76.3;10.0;partly-cloudy
6698;14/01/2026 12:00;10.0;9.3;4.2;66.0;0.0;6;7.8;7.5;296;67.5;12.5;partly-cloudy
3912;14/01/2026 12:00;10.8;10.0;4.3;78.3;0.0;0;16.6;7.8;291;57.9;13.0;partly-cloudy
4443;14/01/2026 12:00;9.9;9.3;3.5;62.6;0.0;5;12.5;11.0;298;59.6;14.4;partly-cloudy
4467;14/01/2026 12:00;10.3;9.6;3.5;61.9;0.0;0;16.8;9.4;269;52.0;13.1;partly-cloudy
